gen,game,history,rewards
1,1,"[0, 2, 8031, 8031, 8, 8, 10, 10, 8031, 2, 8031, 8031, 8, 6, 8, 7, 8031, 0, 8031, 8031, 4, 1, 6, 2, 8031, 0, 8031, 8031, 3, 0, 8031, 0, 8031, 8031, 8031, 0]","[ -5.  31. -13. -13.]"
1,2,"[0, 12, 8031, 8031, 8031, 482, 8031, 960, 8031, 8031, 2, 3, 8031, 12, 8031, 7, 8031, 2, 7, 8031, 8031, 6, 8031, 1, 6, 8031, 8031, 5, 8031, 1, 4, 8031, 8031, 3, 8031, 0, 4, 8031, 8031, 2, 8031, 0, 3, 8031, 8031, 8031, 1, 8031, 7, 0]","[ -7.  21.  -2. -12.]"
1,3,"[0, 8031, 8031, 2, 2, 6, 7, 6, 7, 6, 7, 6, 7, 8031, 0, 8031, 8031, 0, 0, 1, 0, 1, 1, 2, 2, 2, 8031, 1, 1, 8031, 8031, 1, 8031, 0]","[ 27.  -1. -13. -13.]"
1,4,"[0, 2, 10, 8031, 11, 11, 8031, 8031, 7, 10, 8031, 10, 9, 8031, 8031, 2, 7, 8031, 9, 8031, 8031, 22, 25, 8031, 8031, 8031, 1, 6, 12, 8031, 8031, 8031, 1115, 8031, 8031, 8031, 1437, 8031, 8031, 8031, 1, 8031, 8031, 8031, 0]","[-7. -5. -9. 21.]"
2,1,"[0, 2, 8031, 8031, 4, 5, 7, 8, 9, 8, 8031, 2, 8031, 8031, 2, 3, 3, 3, 3, 3, 4, 4, 8031, 0, 8031, 8031, 1, 1, 1, 1, 2, 8031, 0, 0]","[ -1.  27. -13. -13.]"
2,2,"[0, 2, 8031, 8031, 6, 8, 8, 10, 8, 8031, 3, 4, 8031, 8031, 4, 7, 4, 8031, 1, 1, 8031, 8031, 2, 5, 2, 8031, 0, 1, 8031, 8031, 1, 8031, 0]","[ 31.  -5. -13. -13.]"
2,3,"[0, 8031, 8031, 1, 3, 3, 7, 4, 8, 4, 8, 5, 8031, 0, 3, 8031, 8031, 2, 6, 2, 8031, 0, 2, 8031, 8031, 0, 3, 0, 8031, 1, 8031, 8031, 8031, 0]","[ 30.  -4. -13. -13.]"
2,4,"[13, 34, 8031, 8031, 8031, 10, 8031, 8031, 8031, 9, 12, 8031, 8031, 8031, 1, 8031, 8031, 5, 2, 6, 8, 8031, 2, 8031, 8031, 6, 7, 8031, 0, 8031, 8031, 4, 1, 4, 3, 8031, 0, 8031, 8031, 8031, 0, 8031, 8031, 8031, 0, 8031, 8031, 8031, 0]","[ -4.  28. -13. -11.]"
3,1,"[13, 16, 8031, 8031, 28, 31, 8031, 2, 8031, 8031, 5, 5, 6, 5, 6, 5, 8031, 0, 8031, 8031, 2, 1, 2, 8031, 0, 0, 8031, 8031, 0, 0, 1, 8031, 0]","[ 27.  -1. -13. -13.]"
3,2,"[0, 2, 8031, 8031, 2, 3, 2, 5, 4, 6, 5, 6, 5, 7, 5, 8031, 0, 0, 8031, 8031, 0, 1, 2, 4, 2, 8031, 0, 2, 8031, 8031, 8031, 0, 8031, 8031, 0]","[ 28.  -2. -13. -13.]"
3,3,"[54, 8031, 99, 8031, 8031, 0, 4, 8031, 8031, 4, 8, 4, 9, 4, 8031, 1, 5, 8031, 8031, 3, 8031, 1, 5, 8031, 8031, 2, 8031, 0, 4, 8031, 8031, 0]","[ 30.  -7. -10. -13.]"
3,4,"[13, 40, 8031, 8031, 8031, 6, 11, 8031, 8031, 8, 8031, 4, 8, 8031, 8031, 6, 10, 6, 8031, 2, 5, 8031, 8031, 3, 8031, 1, 3, 8031, 8031, 2, 8031, 0, 1, 8031, 8031, 0]","[ 31.  -7. -13. -11.]"
